Ticket_ID,Customer_ID,Ticket_Date,Month,Month_Number,Gender,Region,Customer_Type,Department,Issue_Type,Channel,Agent_ID,Ticket_Status,Resolution_Time_Days,SLA_Target_Days,SLA_Breached,Escalated,CSAT_Rating,Priority,Resolved_Flag,Pending_Flag,Escalated_Flag,SLA_Breach_Flag
TKT10001,CUST3430,13-04-2025,Apr,4,Male,Central,New,IT Support,Technical Issue,Email,AG138,Resolved,7.5,5,Yes,Yes,3,Critical,1,0,1,1
TKT10002,CUST6462,15-12-2025,Dec,12,Female,Central,Premium,Billing,Technical Issue,Chat,AG148,Pending,,5,Yes,No,3,Low,0,1,0,1
TKT10003,CUST6518,28-09-2025,Sep,9,Male,West,Premium,Delivery,Refund Request,Email,AG117,Resolved,6.3,5,Yes,No,2,Low,1,0,0,1
TKT10004,CUST4109,17-04-2025,Apr,4,Female,South,Existing,IT Support,Technical Issue,Email,AG144,Pending,,5,Yes,No,3,High,0,1,0,1
TKT10005,CUST3032,13-03-2025,Mar,3,Male,South,Existing,Billing,Product Complaint,App,AG117,Resolved,4.8,5,No,No,4,Low,1,0,0,0
TKT10006,CUST7263,08-07-2025,Jul,7,Female,South,Existing,Delivery,Billing Query,Chat,AG138,Resolved,7,5,Yes,Yes,2,Low,1,0,1,1
TKT10007,CUST5482,21-01-2025,Jan,1,Female,Central,New,Billing,Technical Issue,Website,AG135,Escalated,7.6,5,Yes,Yes,3,High,0,0,1,1
TKT10008,CUST7531,13-04-2025,Apr,4,Male,South,Existing,Billing,Delivery Delay,Email,AG122,Resolved,6.2,5,Yes,No,3,Low,1,0,0,1
TKT10009,CUST5204,02-05-2025,May,5,Male,South,Existing,Product,Product Complaint,Chat,AG127,Pending,,5,Yes,Yes,2,Critical,0,1,1,1
TKT10010,CUST4357,03-08-2025,Aug,8,Male,Central,Existing,Delivery,Account Update,App,AG117,Resolved,4.7,3,Yes,No,5,Critical,1,0,0,1
TKT10011,CUST3761,27-11-2025,Nov,11,Female,Central,Premium,Sales,Refund Request,Email,AG115,Resolved,4.8,5,No,No,3,High,1,0,0,0
TKT10012,CUST2806,29-03-2025,Mar,3,Female,East,New,IT Support,Delivery Delay,Website,AG132,Escalated,10,5,Yes,Yes,3,Medium,0,0,1,1
TKT10013,CUST4924,10-04-2025,Apr,4,Male,South,New,Sales,Account Update,Chat,AG129,In Progress,5.7,3,Yes,Yes,4,High,0,1,1,1
TKT10014,CUST8282,26-12-2025,Dec,12,Female,North,Existing,Product,Refund Request,Email,AG121,Pending,,5,Yes,Yes,1,Medium,0,1,1,1
TKT10015,CUST3105,01-06-2025,Jun,6,Female,South,Existing,IT Support,Delivery Delay,Chat,AG149,Resolved,6.6,5,Yes,No,5,Medium,1,0,0,1
TKT10016,CUST5992,11-05-2025,May,5,Female,North,Existing,Finance,Billing Query,Email,AG128,Resolved,3.4,5,No,No,4,Low,1,0,0,0
TKT10017,CUST4358,30-05-2025,May,5,Female,West,Premium,HR,Billing Query,Email,AG112,In Progress,3,5,No,No,3,Low,0,1,0,0
TKT10018,CUST5247,05-11-2025,Nov,11,Male,West,Existing,HR,Billing Query,App,AG103,Resolved,4.5,5,No,No,5,High,1,0,0,0
TKT10019,CUST8299,15-09-2025,Sep,9,Female,Central,New,Sales,Technical Issue,Phone,AG123,Resolved,6.9,5,Yes,No,4,Medium,1,0,0,1
TKT10020,CUST9185,10-12-2025,Dec,12,Male,West,New,Finance,Refund Request,Phone,AG115,Resolved,5.2,5,Yes,Yes,4,Medium,1,0,1,1
TKT10021,CUST5059,21-10-2025,Oct,10,Female,Central,New,Delivery,Billing Query,Website,AG118,Resolved,6.6,5,Yes,No,3,High,1,0,0,1
TKT10022,CUST5538,11-07-2025,Jul,7,Male,South,Existing,Delivery,Delivery Delay,Email,AG137,Resolved,7.2,5,Yes,Yes,2,Critical,1,0,1,1
TKT10023,CUST7078,04-10-2025,Oct,10,Male,South,Existing,IT Support,Technical Issue,Chat,AG108,Pending,,5,Yes,Yes,2,Medium,0,1,1,1
TKT10024,CUST5647,10-06-2025,Jun,6,Male,West,Existing,Billing,Billing Query,Email,AG122,Resolved,4.7,5,No,No,4,Critical,1,0,0,0
TKT10025,CUST9848,10-11-2025,Nov,11,Female,East,Existing,Delivery,Technical Issue,Chat,AG117,Escalated,8.5,5,Yes,Yes,2,High,0,0,1,1
TKT10026,CUST8984,22-01-2025,Jan,1,Male,Central,Existing,Billing,Account Update,App,AG135,Resolved,2.1,3,No,No,3,Medium,1,0,0,0
TKT10027,CUST8566,10-09-2025,Sep,9,Female,North,Existing,Delivery,General Query,Chat,AG107,Resolved,3.8,3,Yes,No,4,Medium,1,0,0,1
TKT10028,CUST2073,24-08-2025,Aug,8,Male,South,New,Product,Delivery Delay,Phone,AG117,Resolved,6.2,5,Yes,No,4,Low,1,0,0,1
TKT10029,CUST6313,11-12-2025,Dec,12,Female,South,Existing,Billing,Billing Query,Email,AG145,Resolved,2.8,5,No,No,4,Medium,1,0,0,0
